record_date,stmt_fiscal_year,restmt_flag,account_desc,line_item_desc,position_bil_amt,src_line_nbr,record_fiscal_year,record_fiscal_quarter,record_calendar_year,record_calendar_quarter,record_calendar_month,record_calendar_day
1998-09-30,1998,N,Liabilities and net position,Federal employee and veteran benefits payable,2685.1,11,1998,4,1998,3,09,30
1998-09-30,1998,N,Liabilities and net position,Environmental liabilities,224.5,12,1998,4,1998,3,09,30
1998-09-30,1998,N,Liabilities and net position,Benefits due and payable,77.6,13,1998,4,1998,3,09,30
1998-09-30,1998,N,Liabilities and net position,Loan guarantee liabilities,37.7,14,1998,4,1998,3,09,30
1998-09-30,1998,N,Liabilities and net position,Other liabilities,154.6,15,1998,4,1998,3,09,30
1998-09-30,1998,N,Liabilities and net position,Total liabilities,6987.2,16,1998,4,1998,3,09,30
1998-09-30,1998,N,Liabilities and net position,Net position,-6134.4,17,1998,4,1998,3,09,30
1998-09-30,1998,N,Liabilities and net position,Total liabilities and net position,852.8,18,1998,4,1998,3,09,30
1999-09-30,1998,Y,Assets,Cash and other monetary assets,null,1,1999,4,1999,3,09,30
1999-09-30,1998,Y,Assets,Accounts receivable,null,2,1999,4,1999,3,09,30
1999-09-30,1998,Y,Assets,Loans receivable,null,3,1999,4,1999,3,09,30
1999-09-30,1998,Y,Assets,Taxes receivable,null,4,1999,4,1999,3,09,30
1999-09-30,1998,Y,Assets,Inventories and related property,null,5,1999,4,1999,3,09,30
1999-09-30,1998,Y,Assets,"Property, plant and equipment",null,6,1999,4,1999,3,09,30
1999-09-30,1998,Y,Assets,Other assets,null,7,1999,4,1999,3,09,30
1999-09-30,1998,Y,Assets,Total assets,null,8,1999,4,1999,3,09,30
1999-09-30,1998,Y,Liabilities,Accounts payable,null,9,1999,4,1999,3,09,30
1999-09-30,1998,Y,Liabilities,Federal debt securities held by the public,null,10,1999,4,1999,3,09,30
1999-09-30,1998,Y,Liabilities,Federal employee and veteran benefits payable,null,11,1999,4,1999,3,09,30
1999-09-30,1998,Y,Liabilities,Environmental and disposal liabilities,null,12,1999,4,1999,3,09,30
1999-09-30,1998,Y,Liabilities,Benefits due and payable,null,13,1999,4,1999,3,09,30
1999-09-30,1998,Y,Liabilities,Loan guarantee liabilities,null,14,1999,4,1999,3,09,30
1999-09-30,1998,Y,Liabilities,Other liabilities,null,15,1999,4,1999,3,09,30
1999-09-30,1998,Y,Liabilities,Total liabilities,null,16,1999,4,1999,3,09,30
1999-09-30,1998,Y,Net position,Net Position,null,17,1999,4,1999,3,09,30
1999-09-30,1998,Y,Net position,Total liabilities and net position,null,18,1999,4,1999,3,09,30
1999-09-30,1999,N,Assets,Cash and other monetary assets,115.2,1,1999,4,1999,3,09,30
1999-09-30,1999,N,Assets,Accounts receivable,35.0,2,1999,4,1999,3,09,30
1999-09-30,1999,N,Assets,Loans receivable,183.7,3,1999,4,1999,3,09,30
1999-09-30,1999,N,Assets,Taxes receivable,22.7,4,1999,4,1999,3,09,30
1999-09-30,1999,N,Assets,Inventories and related property,173.3,5,1999,4,1999,3,09,30
1999-09-30,1999,N,Assets,"Property, plant and equipment",298.8,6,1999,4,1999,3,09,30
1999-09-30,1999,N,Assets,Other assets,54.3,7,1999,4,1999,3,09,30
1999-09-30,1999,N,Assets,Total assets,883.0,8,1999,4,1999,3,09,30
1999-09-30,1999,N,Liabilities,Accounts payable,85.8,9,1999,4,1999,3,09,30
1999-09-30,1999,N,Liabilities,Federal debt securities held by the public,3631.6,10,1999,4,1999,3,09,30
1999-09-30,1999,N,Liabilities,Federal employee and veteran benefits payable,2600.7,11,1999,4,1999,3,09,30
1999-09-30,1999,N,Liabilities,Environmental and disposal liabilities,313.2,12,1999,4,1999,3,09,30
1999-09-30,1999,N,Liabilities,Benefits due and payable,73.8,13,1999,4,1999,3,09,30
1999-09-30,1999,N,Liabilities,Loan guarantee liabilities,35.1,14,1999,4,1999,3,09,30
1999-09-30,1999,N,Liabilities,Other liabilities,169.0,15,1999,4,1999,3,09,30
1999-09-30,1999,N,Liabilities,Total liabilities,6909.2,16,1999,4,1999,3,09,30
1999-09-30,1999,N,Net position,Net Position,-6026.2,17,1999,4,1999,3,09,30
1999-09-30,1999,N,Net position,Total liabilities and net position,883.0,18,1999,4,1999,3,09,30
2000-09-30,1999,Y,Assets,Cash and other monetary assets,null,1,2000,4,2000,3,09,30
2000-09-30,1999,Y,Assets,Accounts receivable,null,2,2000,4,2000,3,09,30
2000-09-30,1999,Y,Assets,Loans receivable,null,3,2000,4,2000,3,09,30
2000-09-30,1999,Y,Assets,Taxes receivable,null,4,2000,4,2000,3,09,30
